Dataset,Feature,Missing_Count,Missing_Percent
PTB-XL,RR_Mean_Global,0,0.0
PTB-XL,T_Amp_V5,1,0.005
PTB-XL,Q_Amp_V2_iqr,0,0.0
PTB-XL,T_Amp_II,0,0.0
PTB-XL,ST_Elev_V1_iqr,3379,15.501
PTB-XL,S_Amp_V1,0,0.0
PTB-XL,ST_Elev_V2_count,0,0.0
PTB-XL,ST_Elev_V5,3379,15.501
PTB-XL,ST_Elev_V6_count,0,0.0
PTB-XL,ST_Elev_aVR_count,0,0.0
PTB-XL,R_Amp_V5,1,0.005
PTB-XL,T_Amp_V4_count,0,0.0
PTB-XL,Q_Amp_III,0,0.0
PTB-XL,ST_Elev_III_iqr,3379,15.501
PTB-XL,ST_Elev_III_count,0,0.0
PTB-XL,R_Amp_aVL,0,0.0
PTB-XL,Q_Amp_V2_count,0,0.0
PTB-XL,R_Amp_aVF_iqr,0,0.0
PTB-XL,ST_Elev_aVR,3379,15.501
PTB-XL,R_Amp_III_iqr,0,0.0
PTB-XL,T_Amp_V4,1,0.005
PTB-XL,Q_Amp_V4,1,0.005
PTB-XL,Q_Amp_aVR_iqr,0,0.0
PTB-XL,ST_Elev_aVF_iqr,3379,15.501
PTB-XL,ST_Elev_V5_count,0,0.0
PTB-XL,T_Amp_V2,0,0.0
PTB-XL,ST_Elev_I_count,0,0.0
PTB-XL,T_Amp_V1_iqr,0,0.0
PTB-XL,R_Amp_V1_iqr,0,0.0
PTB-XL,R_Amp_V2_iqr,0,0.0
PTB-XL,QRS_Dur_Global_iqr,0,0.0
PTB-XL,Q_Amp_V3,0,0.0
PTB-XL,T_Amp_V3,0,0.0
PTB-XL,Q_Amp_V1_iqr,0,0.0
PTB-XL,ST_Elev_V3,3379,15.501
PTB-XL,ecg_id,0,0.0
PTB-XL,T_Amp_V3_iqr,0,0.0
PTB-XL,S_Amp_V3,0,0.0
PTB-XL,T_Amp_V4_iqr,1,0.005
PTB-XL,ST_Elev_V6_iqr,3379,15.501
PTB-XL,RR_Mean_Global_count,0,0.0
PTB-XL,R_Amp_V1,0,0.0
PTB-XL,T_Amp_I_count,0,0.0
PTB-XL,S_Amp_V2,0,0.0
PTB-XL,R_Amp_aVR,0,0.0
PTB-XL,T_Amp_V2_iqr,0,0.0
PTB-XL,T_Amp_aVL,0,0.0
PTB-XL,Q_Amp_V2,0,0.0
PTB-XL,ST_Elev_V3_iqr,3379,15.501
PTB-XL,S_Amp_V2_count,0,0.0
PTB-XL,Q_Amp_V1,0,0.0
PTB-XL,R_Amp_V5_count,0,0.0
PTB-XL,ST_Elev_aVF_count,0,0.0
PTB-XL,T_Amp_V1,0,0.0
PTB-XL,Q_Amp_V4_iqr,1,0.005
PTB-XL,R_Amp_V3,0,0.0
PTB-XL,Q_Amp_III_iqr,0,0.0
PTB-XL,Q_Amp_II_iqr,0,0.0
PTB-XL,ST_Elev_aVL_iqr,3379,15.501
PTB-XL,R_Amp_I_count,0,0.0
PTB-XL,R_Amp_V3_count,0,0.0
PTB-XL,S_Amp_V1_count,0,0.0
PTB-XL,RR_Mean_Global_iqr,0,0.0
PTB-XL,Q_Amp_V5_count,0,0.0
PTB-XL,Q_Amp_aVR_count,0,0.0
PTB-XL,R_Amp_V6_iqr,1,0.005
PTB-XL,T_Amp_V5_count,0,0.0
PTB-XL,QRS_Dur_Global,0,0.0
PTB-XL,R_Amp_V6,1,0.005
PTB-XL,R_Amp_III_count,0,0.0
PTB-XL,Q_Amp_V3_count,0,0.0
PTB-XL,ST_Elev_V4,3379,15.501
PTB-XL,T_Amp_V6_iqr,1,0.005
PTB-XL,R_Amp_II_count,0,0.0
PTB-XL,R_Amp_II_iqr,0,0.0
PTB-XL,ST_Elev_II_iqr,3379,15.501
PTB-XL,Q_Amp_aVF,0,0.0
PTB-XL,S_Amp_V1_iqr,0,0.0
PTB-XL,Q_Amp_V3_iqr,0,0.0
PTB-XL,R_Amp_II,0,0.0
PTB-XL,Q_Amp_I_count,0,0.0
PTB-XL,Q_Amp_aVF_iqr,0,0.0
PTB-XL,Q_Amp_V6_iqr,1,0.005
PTB-XL,R_Amp_aVL_iqr,0,0.0
PTB-XL,R_Amp_V6_count,0,0.0
PTB-XL,R_Amp_V4_count,0,0.0
PTB-XL,T_Amp_aVF_count,0,0.0
PTB-XL,R_Amp_aVR_count,0,0.0
PTB-XL,Q_Amp_I,0,0.0
PTB-XL,S_Amp_V2_iqr,0,0.0
PTB-XL,Q_Amp_V6_count,0,0.0
PTB-XL,R_Amp_V3_iqr,0,0.0
PTB-XL,T_Amp_II_count,0,0.0
PTB-XL,T_Amp_aVL_count,0,0.0
PTB-XL,T_Amp_I,0,0.0
PTB-XL,R_Amp_V1_count,0,0.0
PTB-XL,T_Amp_V2_count,0,0.0
PTB-XL,T_Amp_III_iqr,0,0.0
PTB-XL,ST_Elev_I_iqr,3379,15.501
PTB-XL,R_Amp_aVR_iqr,0,0.0
PTB-XL,ST_Elev_II,3379,15.501
PTB-XL,Q_Amp_II,0,0.0
PTB-XL,ST_Elev_aVF,3379,15.501
PTB-XL,ST_Elev_V2_iqr,3379,15.501
PTB-XL,ST_Elev_aVL_count,0,0.0
PTB-XL,Q_Amp_aVL_iqr,0,0.0
PTB-XL,Q_Amp_III_count,0,0.0
PTB-XL,ST_Elev_I,3379,15.501
PTB-XL,R_Amp_aVF,0,0.0
PTB-XL,ST_Elev_V4_iqr,3379,15.501
PTB-XL,T_Amp_V3_count,0,0.0
PTB-XL,T_Amp_V6,1,0.005
PTB-XL,R_Amp_aVF_count,0,0.0
PTB-XL,T_Amp_aVF,0,0.0
PTB-XL,Q_Amp_II_count,0,0.0
PTB-XL,T_Amp_aVF_iqr,0,0.0
PTB-XL,Q_Amp_aVR,0,0.0
PTB-XL,QRS_Dur_Global_count,0,0.0
PTB-XL,S_Amp_V3_iqr,0,0.0
PTB-XL,R_Amp_V4,1,0.005
PTB-XL,T_Amp_aVR_count,0,0.0
PTB-XL,T_Amp_aVR_iqr,0,0.0
PTB-XL,T_Amp_III_count,0,0.0
PTB-XL,S_Amp_V3_count,0,0.0
