Feature,Lower_Bound_PTBXL,Upper_Bound_PTBXL,Num_Outside_Range,Pct_Outside_Range,Extreme_Subject_Examples,Note
Q_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V1_iqr,0.008,0.598,24334,5.97,"10001843, 10001884, 10001884, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V2,-0.25,1.225,8168,2.0,"10005348, 10005866, 10005866, 10005866, 10007058","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V2_iqr,0.01,0.7,26082,6.4,"10000117, 10000764, 10000980, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V3,-0.28,1.43,6159,1.51,"10005348, 10007058, 10007058, 10008064, 10013643","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V3_iqr,0.01,0.83,31329,7.69,"10000117, 10000635, 10001492, 10001884, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V4,-0.365,1.51,3706,0.91,"10001843, 10002428, 10005348, 10013643, 10018328","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V4_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V4_iqr,0.01,0.84,44284,10.87,"10000117, 10000635, 10001401, 10001877, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V5,-0.38,1.07,4399,1.08,"10002428, 10003502, 10003502, 10005348, 10007058","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V5_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V5_iqr,0.01,0.77,56239,13.8,"10000635, 10000764, 10001401, 10001401, 10001401","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V6,-0.345,0.655,5696,1.4,"10002428, 10002557, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V6_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V6_iqr,0.008,0.822,28352,6.96,"10001492, 10002013, 10002013, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVF,-0.33,0.55,4418,1.08,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVF_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVF_iqr,0.01,0.468,48898,12.0,"10000117, 10000980, 10001401, 10001401, 10001492","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVL,-0.305,0.45,9326,2.29,"10001884, 10001884, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVL_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVL_iqr,0.01,0.4,42211,10.36,"10000117, 10000764, 10000980, 10001401, 10001401","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVR,-0.285,0.23,6087,1.49,"10003502, 10010429, 10012268, 10012268, 10012268","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVR_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVR_iqr,0.008,0.288,54183,13.3,"10000032, 10000117, 10001401, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
RR_Mean_Global,439.98,1300.0,13405,3.29,"10001884, 10002495, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
RR_Mean_Global_count,7.0,21.0,14356,3.52,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
RR_Mean_Global_iqr,2.0,420.03,10345,2.54,"10001884, 10002013, 10003400, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_I,-0.45,1.76,10582,2.6,"10005348, 10005348, 10005348, 10005858, 10006580","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_II,-1.12,1.81,5546,1.36,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_III,-1.95,1.33,5705,1.4,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_III_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_III_iqr,0.018,0.78,22898,5.62,"10000032, 10001492, 10002013, 10002155, 10002221","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_II_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_II_iqr,0.012,0.73,22734,5.58,"10002221, 10002428, 10002428, 10002428, 10002528","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_I_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_I_iqr,0.015,0.5,25224,6.19,"10002221, 10002428, 10002976, 10003203, 10003299","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V1,-2.5,1.005,8016,1.97,"10003299, 10004457, 10007818, 10010471, 10013310","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V1_iqr,0.015,0.83,32180,7.9,"10000980, 10000980, 10001492, 10001492, 10001877","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V2,-3.75,1.63,5727,1.41,"10010471, 10010471, 10010471, 10013310, 10015931","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V2_iqr,0.02,1.063,31266,7.67,"10000117, 10000635, 10000980, 10001843, 10001877","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V3,-3.53,2.395,4317,1.06,"10002221, 10003502, 10003502, 10005348, 10007058","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V3_iqr,0.018,1.27,23634,5.8,"10002013, 10002976, 10004113, 10004401, 10005024","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V4,-2.4,3.27,4042,0.99,"10005348, 10005348, 10005348, 10005348, 10007818","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V4_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V4_iqr,0.02,1.198,29685,7.29,"10000935, 10001492, 10001492, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V5,-1.215,3.14,9160,2.25,"10002557, 10003299, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V5_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V5_iqr,0.018,1.018,26364,6.47,"10000935, 10000980, 10002131, 10002221, 10002221","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V6,-0.73,2.435,12966,3.18,"10002557, 10003299, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V6_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V6_iqr,0.012,0.95,17902,4.39,"10000117, 10000980, 10002155, 10002976, 10004235","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVF,-1.48,1.48,6238,1.53,"10003502, 10003502, 10003502, 10005858, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVF_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVF_iqr,0.012,0.695,14614,3.59,"10002155, 10002221, 10002428, 10002428, 10003299","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVL,-0.67,1.625,38840,9.53,"10000635, 10000980, 10000980, 10000980, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVL_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVL_iqr,0.015,0.565,27634,6.78,"10001884, 10002013, 10002013, 10002013, 10002221","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVR,-1.49,0.42,9943,2.44,"10005348, 10005348, 10006580, 10007818, 10010429","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVR_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVR_iqr,0.01,0.41,31170,7.65,"10001401, 10001884, 10002013, 10002221, 10002428","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_I,-0.75,0.82,153,0.04,"10021395, 10023117, 10052340, 10196360, 10196360","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_II,-0.82,0.84,268,0.07,"10023117, 10023117, 10023117, 10139387, 10172206","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_III,-0.789,0.8,713,0.17,"10023117, 10023117, 10023117, 10023117, 10023117","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_III_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_III_iqr,0.038,1.944,279881,68.69,"10000032, 10000032, 10000117, 10000635, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_II_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_II_iqr,0.025,1.71,196128,48.14,"10000032, 10000032, 10000117, 10000635, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_I_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_I_iqr,0.03,1.642,268548,65.91,"10000032, 10000032, 10000117, 10000764, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V1,-0.75,0.93,1100,0.27,"10001401, 10007058, 10013653, 10014078, 10017531","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V1_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V1_iqr,0.02,2.15,155095,38.07,"10000117, 10000635, 10000764, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V2,-0.7,0.955,1939,0.48,"10003299, 10003299, 10023117, 10023117, 10025647","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V2_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V2_iqr,0.01,1.641,18689,4.59,"10000117, 10000764, 10000980, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V3,-0.779,0.95,1407,0.35,"10014610, 10023117, 10023117, 10023117, 10028480","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V3_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V3_iqr,0.01,1.651,18827,4.62,"10000117, 10002013, 10002155, 10002528, 10002807","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V4,-0.81,0.92,906,0.22,"10001843, 10038849, 10067573, 10137856, 10139387","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V4_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V4_iqr,0.01,1.655,23984,5.89,"10000980, 10000980, 10001401, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V5,-0.87,0.89,757,0.19,"10010471, 10021395, 10023117, 10030753, 10039709","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V5_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V5_iqr,0.015,1.728,97209,23.86,"10000117, 10000935, 10000935, 10000935, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V6,-0.865,0.865,887,0.22,"10010471, 10023117, 10026255, 10122589, 10138124","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V6_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V6_iqr,0.02,1.75,182395,44.77,"10000117, 10000635, 10000764, 10000764, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVF,-0.819,0.83,227,0.06,"10023117, 10023117, 10023117, 10052340, 10078008","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVF_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVF_iqr,0.03,1.807,277972,68.22,"10000032, 10000032, 10000117, 10000635, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVL,-0.73,0.81,382,0.09,"10023117, 10023117, 10023117, 10023117, 10023117","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVL_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVL_iqr,0.038,1.77,302677,74.29,"10000032, 10000032, 10000032, 10000117, 10000635","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVR,-0.639,0.79,94,0.02,"10023117, 10139387, 10196360, 10570126, 10639500","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVR_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVR_iqr,0.028,1.66,274726,67.43,"10000032, 10000032, 10000032, 10000117, 10000635","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V1,-0.665,0.29,9126,2.24,"10003502, 10004401, 10004606, 10010471, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V1_iqr,0.005,0.61,4685,1.15,"10002800, 10004606, 10005428, 10005866, 10006023","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V2,-1.23,0.26,8391,2.06,"10001884, 10001884, 10002528, 10002559, 10005012","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V2_iqr,0.008,0.675,14477,3.55,"10000980, 10002013, 10002428, 10002800, 10002976","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V3,-1.41,0.2,7291,1.79,"10001877, 10002221, 10002428, 10003299, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V3_iqr,0.01,0.76,31108,7.63,"10000980, 10002013, 10002013, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_I,-0.33,0.37,5565,1.37,"10003502, 10004113, 10005858, 10006431, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_II,-0.23,0.43,6187,1.52,"10009686, 10010429, 10010471, 10010471, 10013049","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_III,-0.26,0.49,7707,1.89,"10003502, 10003502, 10004401, 10004401, 10009686","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_III_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_III_iqr,0.01,0.478,36874,9.05,"10001401, 10001492, 10001884, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_II_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_II_iqr,0.01,0.42,50320,12.35,"10000764, 10000935, 10000980, 10001217, 10001401","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_I_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_I_iqr,0.01,0.33,59090,14.5,"10000117, 10000764, 10000980, 10001401, 10001492","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V1,-0.33,0.69,6403,1.57,"10001401, 10010471, 10010471, 10010471, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V1_iqr,0.01,0.59,50394,12.37,"10000117, 10000764, 10000935, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V2,-0.34,1.215,7526,1.85,"10002013, 10002013, 10002155, 10010429, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V2_iqr,0.01,0.735,29057,7.13,"10000980, 10001884, 10001884, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V3,-0.395,1.19,6133,1.51,"10002155, 10004764, 10008064, 10010429, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V3_iqr,0.01,0.788,28110,6.9,"10000635, 10000764, 10000935, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V4,-0.46,0.91,5151,1.26,"10002428, 10010471, 10017764, 10021927, 10021927","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V4_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V4_iqr,0.01,0.675,36187,8.88,"10000635, 10000980, 10000980, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V5,-0.48,0.63,5221,1.28,"10001843, 10002428, 10002428, 10010471, 10013310","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V5_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V5_iqr,0.01,0.66,47170,11.58,"10000117, 10000826, 10000935, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V6,-0.435,0.46,5910,1.45,"10001843, 10002428, 10002428, 10002428, 10004113","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V6_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V6_iqr,0.008,0.762,24199,5.94,"10000764, 10000980, 10001492, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVF,-0.2,0.4,13670,3.36,"10001884, 10001884, 10001884, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVF_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVF_iqr,0.01,0.418,61554,15.11,"10001401, 10001492, 10001492, 10001884, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVL,-0.39,0.26,16931,4.16,"10001884, 10001884, 10001884, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVL_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVL_iqr,0.01,0.34,56735,13.92,"10000935, 10000980, 10000980, 10001401, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVR,-0.35,0.22,5085,1.25,"10004113, 10010471, 10010471, 10013049, 10013049","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
