Dataset,Feature,Extreme_Type,Values,SubjectIDs
MIMIC-IV,Q_Amp_III_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_III_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_III_iqr,Top 20,"102.796, 98.0766, 56.7046, 28.2067, 18.9372, 17.0295, 13.376, 6.8992, 6.4799, 6.3201, 4.9303, 4.4843, 4.4468, 4.3812, 4.1756, 3.6807, 3.3359, 3.2522, 3.1972, 3.0769","10639500, 14691000, 17132849, 12597933, 12517010, 19482678, 11279168, 11009860, 13733457, 14874072, 15161279, 15605951, 14467405, 11057357, 14822638, 17211916, 17297649, 17312985, 14219343, 15689762"
MIMIC-IV,Q_Amp_III_iqr,Bottom 20,"0.0009, 0.0012, 0.0014, 0.0016, 0.0017, 0.0018, 0.0018, 0.0019, 0.0019, 0.002, 0.002, 0.002, 0.002, 0.0021, 0.0021, 0.0021, 0.0022, 0.0022, 0.0022, 0.0022","14481038, 17715495, 15247708, 19429257, 14335490, 18784178, 12518826, 14237047, 13496713, 10738109, 19590767, 10377960, 12294223, 19407680, 17756198, 13496146, 11670591, 14835862, 14045846, 12025857"
MIMIC-IV,Q_Amp_II_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_II_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_II_iqr,Top 20,"102.2469, 74.5088, 42.6845, 28.7143, 18.6638, 11.2811, 5.0125, 4.7239, 3.6479, 3.5936, 3.2353, 3.1145, 2.8492, 2.6616, 2.5911, 2.0331, 1.9426, 1.9261, 1.8883, 1.856","10639500, 17132849, 11960875, 12597933, 12517010, 11279168, 13762217, 13296168, 12224027, 10286998, 16194637, 19909522, 19390611, 12738850, 10731211, 19177655, 19592126, 14006699, 14812210, 19311178"
MIMIC-IV,Q_Amp_II_iqr,Bottom 20,"0.0, 0.0011, 0.0011, 0.0012, 0.0013, 0.0014, 0.0014, 0.0014, 0.0014, 0.0015, 0.0015, 0.0015, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016","14167047, 10397689, 17502799, 12620215, 11313865, 12356115, 11786902, 12018901, 17119475, 17015268, 18588433, 10172042, 11558910, 14114593, 12848737, 14400660, 16411533, 16997103, 18169048, 14247906"
MIMIC-IV,Q_Amp_I_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_I_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_I_iqr,Top 20,"95.3418, 42.7288, 26.567, 18.9752, 16.1494, 8.4872, 4.8898, 4.4285, 4.0673, 3.9998, 3.7433, 3.7354, 3.4959, 3.4287, 3.379, 3.2051, 2.9817, 2.9506, 2.9037, 2.7002","14691000, 11960875, 19482678, 17132849, 18153954, 13733457, 13762217, 10908909, 13296168, 18467232, 15231087, 12224027, 16194637, 10286998, 15689762, 14822638, 13237537, 17399317, 14219343, 13943729"
MIMIC-IV,Q_Amp_I_iqr,Bottom 20,"0.0, 0.0001, 0.0004, 0.0004, 0.0005, 0.0007, 0.0009, 0.001, 0.0011, 0.0011, 0.0012, 0.0012, 0.0013, 0.0013, 0.0014, 0.0014, 0.0015, 0.0015, 0.0015, 0.0015","15998075, 11164118, 11287998, 16171897, 11652327, 16768511, 10271803, 14222237, 13219876, 11652327, 17257484, 13459164, 18932912, 14481038, 10554657, 16541709, 14969198, 10070614, 10909916, 16274426"
MIMIC-IV,Q_Amp_V1,Top 20,"49.2452, 28.7592, 16.0361, 14.0776, 13.8843, 13.3205, 12.7057, 12.6756, 12.6238, 11.792, 11.758, 11.6324, 11.4535, 11.4507, 10.8598, 10.803, 10.555, 10.3375, 9.8697, 9.8627","12517010, 14691000, 17132849, 11960875, 13797586, 15142292, 14809072, 13384632, 14295224, 10200129, 16416806, 12989005, 13294541, 19415931, 10469318, 12539957, 19960839, 18163289, 10250736, 17925184"
MIMIC-IV,Q_Amp_V1,Bottom 20,"-19.7155, -19.5816, -17.3367, -15.4226, -15.1101, -14.6075, -14.6058, -13.9702, -12.4499, -12.3551, -12.0671, -11.6044, -11.3082, -10.8368, -10.5596, -10.484, -10.3167, -10.2197, -9.9737, -9.8967","10570126, 17746390, 14449762, 17240748, 19820806, 18380697, 12367803, 16132566, 11240669, 15568805, 18078962, 14262654, 12350277, 12516814, 17970243, 17580985, 12796016, 15439322, 14795459, 15198868"
MIMIC-IV,Q_Amp_V1_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_V1_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_V1_iqr,Top 20,"102.2469, 95.1029, 64.3525, 57.8286, 57.0582, 31.4875, 26.9906, 24.8552, 21.1902, 20.4182, 19.579, 19.5701, 19.1513, 18.4018, 17.1881, 15.9552, 15.7245, 14.3112, 13.7057, 13.5169","10639500, 14691000, 13797586, 12517010, 18562317, 17132849, 13795988, 14702995, 15110016, 15672432, 11240669, 12367803, 11960875, 19136566, 15102449, 11279168, 10570126, 12731441, 17970010, 14449762"
MIMIC-IV,Q_Amp_V1_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0003, 0.0007, 0.001, 0.0011, 0.0011, 0.0012, 0.0013, 0.0013, 0.0013, 0.0014, 0.0014","16715071, 18910703, 10911270, 14010625, 12082362, 13039135, 11900070, 18248533, 11174340, 12241844, 15311382, 17905392, 16172698, 10275886, 11257841, 16578228, 19464511, 11599045, 16513231, 13965528"
MIMIC-IV,Q_Amp_V2,Top 20,"49.7578, 28.9523, 24.0564, 21.3876, 15.3087, 14.7287, 14.5147, 14.1185, 12.761, 12.3913, 12.3142, 12.138, 11.8404, 10.9884, 10.9209, 10.0386, 9.6617, 9.5496, 9.5163, 9.4974","12517010, 14691000, 17132849, 15605951, 19410125, 19773291, 19243474, 18624988, 11734166, 11776988, 11960875, 19025237, 10627699, 13395021, 13731396, 11252719, 10250736, 11841526, 17428457, 16409409"
MIMIC-IV,Q_Amp_V2,Bottom 20,"-22.4734, -15.8867, -14.7046, -14.0204, -13.6509, -13.1549, -11.7721, -11.7617, -11.6789, -11.5318, -11.5118, -11.3602, -11.0203, -10.927, -10.7534, -10.3861, -9.9899, -9.7753, -9.4184, -8.8472","14774100, 10682002, 19507970, 17918016, 16717759, 16936322, 19271745, 15316284, 17131600, 11834165, 15394383, 12102463, 15367414, 12637819, 14766731, 14311198, 14703575, 17636862, 16839169, 18414625"
MIMIC-IV,Q_Amp_V2_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_V2_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_V2_iqr,Top 20,"102.2469, 95.2962, 57.2911, 42.2023, 32.0001, 24.6031, 24.3289, 22.8665, 18.6843, 17.7661, 17.1507, 17.0479, 16.4868, 16.3119, 15.6751, 15.283, 14.8215, 14.5627, 13.2157, 12.8974","10639500, 14691000, 12517010, 11960875, 17132849, 16839169, 15835317, 14774100, 17636862, 18624988, 10939051, 17428457, 11279168, 15605951, 14766731, 13836824, 13395021, 18611488, 19642954, 16717759"
MIMIC-IV,Q_Amp_V2_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0006, 0.0008, 0.0009, 0.0009, 0.001, 0.0011, 0.0011, 0.0012, 0.0013, 0.0014, 0.0014","19601270, 12929274, 14350978, 12733748, 11844287, 13473495, 19806212, 11275493, 14105983, 16700843, 15444391, 18679900, 14899292, 18798223, 12315463, 12671335, 15489533, 19992875, 16892518, 11511899"
MIMIC-IV,Q_Amp_V3,Top 20,"49.2711, 32.2359, 29.3224, 21.524, 18.9756, 14.0966, 13.8751, 12.8493, 12.6522, 12.3778, 12.1591, 11.9386, 10.873, 10.4681, 10.3974, 10.3526, 10.2314, 10.1746, 10.0653, 9.7725","12517010, 17132849, 14691000, 15605951, 11232657, 12683115, 13415923, 16717759, 13704822, 19451054, 11960875, 11863654, 10250736, 12918803, 12104123, 15040147, 11876262, 13128461, 16123839, 12872916"
MIMIC-IV,Q_Amp_V3,Bottom 20,"-17.7951, -14.0446, -12.3618, -12.0614, -11.4405, -10.7572, -10.3464, -10.3368, -10.2483, -10.033, -9.7609, -9.7398, -9.7294, -9.5896, -9.4745, -9.2816, -9.1807, -9.137, -9.0649, -9.0114","15655766, 15999553, 15586468, 17926207, 18655830, 16392279, 19696769, 16063345, 17442462, 16498261, 10862025, 13545353, 12283783, 16450946, 19759745, 13833101, 10172206, 13245622, 17934671, 17321813"
MIMIC-IV,Q_Amp_V3_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_V3_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_V3_iqr,Top 20,"102.2469, 96.9615, 57.0587, 53.6555, 51.0587, 47.7648, 45.9993, 42.215, 30.6977, 23.5325, 22.7077, 22.341, 22.222, 20.9879, 20.6189, 20.4174, 20.1123, 18.5564, 18.4131, 17.8676","10639500, 14691000, 12517010, 11919347, 11232657, 15655766, 17132849, 11960875, 13637669, 13780400, 16096783, 14394962, 15040147, 13704822, 11791041, 17949474, 12487862, 12683115, 11069386, 11863654"
MIMIC-IV,Q_Amp_V3_iqr,Bottom 20,"0.0, 0.0, 0.0001, 0.0001, 0.0002, 0.0003, 0.0003, 0.0005, 0.0007, 0.0011, 0.0012, 0.0014, 0.0015, 0.0015, 0.0015, 0.0017, 0.0017, 0.0017, 0.0017, 0.0018","13713209, 13315366, 18566607, 13993692, 17524861, 12252736, 17735780, 15667551, 12067194, 18834121, 14504848, 10865504, 13324195, 18381957, 17518310, 15978490, 16176594, 19960274, 11528671, 13778766"
MIMIC-IV,Q_Amp_V4,Top 20,"49.7274, 34.3994, 29.2547, 21.8093, 19.3401, 19.2948, 17.926, 16.3986, 15.2419, 14.6688, 14.62, 12.7871, 12.6147, 12.3909, 11.2934, 10.8661, 10.7251, 10.6791, 10.292, 10.2508","12517010, 17132849, 14691000, 15605951, 14494263, 10527074, 17521786, 19428820, 12327469, 12567301, 15259244, 18079519, 19663837, 19639613, 11960875, 17078350, 17610997, 15289024, 14841920, 18362456"
MIMIC-IV,Q_Amp_V4,Bottom 20,"-15.0243, -14.6769, -14.5841, -12.4878, -11.7751, -11.683, -11.0885, -10.9016, -10.7994, -10.5969, -10.4468, -9.7975, -9.4959, -9.4325, -8.9869, -8.8565, -8.4898, -8.4846, -8.2814, -8.0878","18422749, 18727964, 14036332, 13940306, 13282793, 10850433, 18230098, 10567046, 16086282, 16151224, 16420745, 16589824, 12173286, 11485288, 19550442, 15123166, 12415967, 13399381, 12532638, 10639500"
MIMIC-IV,Q_Amp_V4_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_V4_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_V4_iqr,Top 20,"102.2469, 96.076, 75.9187, 57.4292, 51.7902, 48.405, 43.8364, 42.2821, 40.1241, 39.9463, 33.4513, 32.8164, 28.2512, 23.9116, 21.9794, 21.5162, 21.337, 20.2372, 19.8692, 17.7295","10639500, 14691000, 12327469, 12517010, 18544386, 17132849, 17342098, 11960875, 10527074, 18079519, 16805727, 17521786, 11482500, 19428820, 14494263, 12322027, 15259244, 17610997, 19663837, 12219683"
MIMIC-IV,Q_Amp_V4_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0003, 0.0005, 0.0007, 0.0009, 0.0011, 0.0013, 0.0014, 0.0014, 0.0015, 0.0015, 0.0015, 0.0015","13401524, 18168840, 13467921, 10390714, 14388050, 12685249, 16345822, 15916886, 17996934, 12540807, 16092524, 16546662, 10591385, 19242273, 10360554, 16332956, 19155041, 16011126, 18319079, 14133745"
MIMIC-IV,Q_Amp_V5,Top 20,"48.3397, 33.6772, 32.1299, 29.6228, 21.756, 18.512, 16.8317, 15.3066, 11.367, 11.2848, 10.4833, 10.3316, 10.2239, 9.9523, 9.6993, 9.6621, 9.1023, 9.0871, 8.7987, 8.2968","12517010, 16750854, 17132849, 14691000, 15605951, 17671435, 14368163, 14010911, 19191750, 11960875, 11741336, 10250736, 13947746, 13713209, 18388859, 10476303, 17589503, 16648221, 12306709, 19931617"
MIMIC-IV,Q_Amp_V5,Bottom 20,"-17.676, -17.6079, -13.6187, -13.4587, -12.5289, -12.0816, -11.6501, -11.3413, -11.2024, -10.8806, -10.2898, -10.0211, -9.8221, -9.5891, -9.5229, -9.2605, -9.1632, -9.1334, -9.1284, -8.698","16186407, 14104740, 13416445, 17473715, 16063345, 12532638, 16505639, 19713198, 12762605, 16671289, 10161042, 15752558, 15171885, 11475699, 13148729, 11171072, 16339049, 18451972, 18236201, 18343701"
MIMIC-IV,Q_Amp_V5_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_V5_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_V5_iqr,Top 20,"102.2469, 97.9376, 72.939, 55.428, 46.1312, 42.2553, 41.2817, 37.4104, 32.4211, 24.1848, 22.891, 22.7411, 22.3838, 19.7466, 17.9178, 17.2269, 16.6542, 16.1116, 15.7931, 13.9158","10639500, 14691000, 16750854, 12517010, 17132849, 11960875, 14104740, 17671435, 14368163, 12086931, 18562129, 14010911, 12289464, 13416445, 18787238, 10862862, 11279168, 15605951, 13713209, 11741336"
MIMIC-IV,Q_Amp_V5_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0002, 0.0004, 0.0007, 0.0007, 0.0008, 0.0009, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0011, 0.0012, 0.0012, 0.0012, 0.0012","15539562, 10300976, 10390664, 14220073, 11667512, 15956226, 18508804, 11959467, 12895214, 14579607, 14022863, 18212177, 11517422, 11648170, 11648170, 12246674, 13760440, 12629893, 16987979, 15659767"
MIMIC-IV,Q_Amp_V6,Top 20,"49.1043, 38.0215, 29.1106, 23.5027, 21.576, 20.5419, 17.6939, 16.3105, 13.7876, 13.7454, 13.6742, 12.338, 11.2895, 10.6403, 10.4281, 10.2454, 10.1958, 10.0846, 9.9385, 9.8366","12517010, 16086282, 14691000, 14707286, 15605951, 15910710, 17132849, 17925184, 12637610, 17876390, 18230098, 12932589, 11960875, 16544239, 17565549, 18733465, 10250736, 16716395, 16061488, 11443579"
MIMIC-IV,Q_Amp_V6,Bottom 20,"-19.4199, -17.1698, -14.7499, -14.0351, -12.429, -12.0813, -11.9212, -11.8303, -11.6969, -11.185, -10.3255, -10.2919, -10.1186, -10.0813, -9.7295, -9.6367, -9.443, -9.3991, -9.0622, -8.9572","16651008, 15002568, 12994952, 18614670, 14548055, 13840316, 16871852, 11432626, 17598702, 13489339, 12815098, 13638752, 19417923, 18761260, 13131588, 12189285, 15200459, 17543825, 13535833, 15999575"
MIMIC-IV,Q_Amp_V6_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,Q_Amp_V6_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,Q_Amp_V6_iqr,Top 20,"102.2469, 95.6388, 57.5799, 57.4002, 51.4068, 42.2462, 37.4643, 29.675, 26.8577, 26.4471, 25.6267, 19.8305, 19.2039, 17.2083, 16.8608, 15.6399, 15.5542, 15.4486, 14.4506, 13.9539","10639500, 14691000, 12517010, 16086282, 17132849, 11960875, 17925184, 14707286, 15944766, 16716395, 11443579, 16061488, 17876390, 14566045, 14548055, 15605951, 11279168, 15402907, 17565549, 16544239"
MIMIC-IV,Q_Amp_V6_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0003, 0.0003, 0.0004, 0.0004, 0.0006, 0.0006, 0.0006, 0.0008, 0.0008, 0.0009, 0.001, 0.0011","10157256, 19851462, 19111622, 16057835, 14751479, 12550080, 14220073, 12217232, 15956226, 12510515, 11508897, 10256131, 17298353, 12139700, 12841759, 12608011, 13024713, 11569252, 19199259, 17396354"
MIMIC-IV,Q_Amp_aVF,Top 20,"29.9962, 28.9411, 28.5321, 10.9693, 10.4044, 8.7153, 8.0805, 7.9842, 7.0903, 6.5104, 6.0207, 5.8606, 5.8015, 5.6045, 5.327, 5.1821, 5.1207, 5.053, 4.9176, 4.7294","12517010, 17132849, 14691000, 11960875, 19482678, 16098597, 13733457, 15605951, 13667220, 16098597, 11386787, 15689762, 11488234, 13991270, 16270136, 10635271, 17730015, 14822638, 17399317, 17399317"
MIMIC-IV,Q_Amp_aVF,Bottom 20,"-14.9358, -8.2212, -8.201, -7.7672, -5.3147, -4.9352, -3.0232, -2.5767, -2.4519, -2.294, -2.2026, -2.065, -1.8063, -1.6945, -1.6315, -1.5615, -1.5431, -1.5291, -1.3064, -1.2301","13237537, 11845306, 10639500, 11663663, 10250736, 14716749, 15065955, 10725079, 11685620, 11339006, 15231087, 12805443, 10286998, 13444222, 10286998, 10286998, 10908909, 10286998, 10908909, 19985259"
