Feature,Lower_Bound_PTBXL,Upper_Bound_PTBXL,Num_Outside_Range,Pct_Outside_Range,Extreme_Subject_Examples,Note
Q_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V1_iqr,0.0075,0.5976500000000033,24334,5.97,"10001843, 10001884, 10001884, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V2,-0.25,1.2251000000000023,8168,2.0,"10005348, 10005866, 10005866, 10005866, 10007058","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V2_iqr,0.0099999999999999,0.7,26082,6.4,"10000117, 10000764, 10000980, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V3,-0.28009999999999996,1.43,6159,1.51,"10005348, 10007058, 10007058, 10008064, 10013643","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V3_iqr,0.0099999999999999,0.8300000000000001,31329,7.69,"10000117, 10000635, 10001492, 10001884, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V4,-0.365,1.51,3706,0.91,"10001843, 10002428, 10005348, 10013643, 10018328","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V4_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V4_iqr,0.0099999999999999,0.8401499999999941,44284,10.87,"10000117, 10000635, 10001401, 10001877, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V5,-0.38,1.07,4399,1.08,"10002428, 10003502, 10003502, 10005348, 10007058","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V5_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V5_iqr,0.0099999999999999,0.77,56239,13.8,"10000635, 10000764, 10001401, 10001401, 10001401","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V6,-0.345,0.655,5696,1.4,"10002428, 10002557, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V6_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V6_iqr,0.0075,0.8225,28352,6.96,"10001492, 10002013, 10002013, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVF,-0.33009999999999995,0.55,4418,1.08,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVF_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVF_iqr,0.0099999999999999,0.4675,48898,12.0,"10000117, 10000980, 10001401, 10001401, 10001492","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVL,-0.305,0.45,9326,2.29,"10001884, 10001884, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVL_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVL_iqr,0.0099999999999999,0.4000500000000011,42211,10.36,"10000117, 10000764, 10000980, 10001401, 10001401","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVR,-0.285,0.23,6087,1.49,"10003502, 10010429, 10012268, 10012268, 10012268","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVR_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_aVR_iqr,0.0075,0.2875,54183,13.3,"10000032, 10000117, 10001401, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
RR_Mean_Global,439.98,1300.0,13405,3.29,"10001884, 10002495, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
RR_Mean_Global_count,7.0,21.0,14356,3.52,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
RR_Mean_Global_iqr,2.0,420.03000000000065,10345,2.54,"10001884, 10002013, 10003400, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_I,-0.45,1.76,10582,2.6,"10005348, 10005348, 10005348, 10005858, 10006580","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_II,-1.12,1.81,5546,1.36,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_III,-1.9501999999999997,1.33,5705,1.4,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_III_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_III_iqr,0.0175,0.7800500000000011,22898,5.62,"10000032, 10001492, 10002013, 10002155, 10002221","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_II_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_II_iqr,0.0124999999999999,0.7301000000000022,22734,5.58,"10002221, 10002428, 10002428, 10002428, 10002528","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_I_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_I_iqr,0.015,0.5000500000000011,25224,6.19,"10002221, 10002428, 10002976, 10003203, 10003299","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V1,-2.5,1.005,8016,1.97,"10003299, 10004457, 10007818, 10010471, 10013310","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V1_iqr,0.015,0.83,32180,7.9,"10000980, 10000980, 10001492, 10001492, 10001877","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V2,-3.7502,1.6302000000000043,5727,1.41,"10010471, 10010471, 10010471, 10013310, 10015931","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V2_iqr,0.0199999999999999,1.0627500000000054,31266,7.67,"10000117, 10000635, 10000980, 10001843, 10001877","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V3,-3.53,2.395,4317,1.06,"10002221, 10003502, 10003502, 10005348, 10007058","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V3_iqr,0.0175,1.27,23634,5.8,"10002013, 10002976, 10004113, 10004401, 10005024","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V4,-2.40015,3.27,4042,0.99,"10005348, 10005348, 10005348, 10005348, 10007818","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V4_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V4_iqr,0.0199999999999997,1.197574999999997,29685,7.29,"10000935, 10001492, 10001492, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V5,-1.215,3.14,9160,2.25,"10002557, 10003299, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V5_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V5_iqr,0.0175,1.0175749999999972,26364,6.47,"10000935, 10000980, 10002131, 10002221, 10002221","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V6,-0.73,2.4351499999999944,12966,3.18,"10002557, 10003299, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V6_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_V6_iqr,0.0124999999999999,0.95,17902,4.39,"10000117, 10000980, 10002155, 10002976, 10004235","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVF,-1.48,1.48,6238,1.53,"10003502, 10003502, 10003502, 10005858, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVF_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVF_iqr,0.0125,0.6950500000000012,14614,3.59,"10002155, 10002221, 10002428, 10002428, 10003299","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVL,-0.6700999999999999,1.625,38840,9.53,"10000635, 10000980, 10000980, 10000980, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVL_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVL_iqr,0.015,0.5651500000000034,27634,6.78,"10001884, 10002013, 10002013, 10002013, 10002221","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVR,-1.49,0.42,9943,2.44,"10005348, 10005348, 10006580, 10007818, 10010429","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVR_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
R_Amp_aVR_iqr,0.01,0.41,31170,7.65,"10001401, 10001884, 10002013, 10002221, 10002428","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_I,-0.75,0.82,153,0.04,"10021395, 10023117, 10052340, 10196360, 10196360","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_II,-0.8200000000000001,0.84,268,0.07,"10023117, 10023117, 10023117, 10139387, 10172206","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_III,-0.78905,0.8,713,0.17,"10023117, 10023117, 10023117, 10023117, 10023117","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_III_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_III_iqr,0.0375,1.9435750000000098,279881,68.69,"10000032, 10000032, 10000117, 10000635, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_II_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_II_iqr,0.025,1.71,196128,48.14,"10000032, 10000032, 10000117, 10000635, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_I_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_I_iqr,0.03,1.6420250000000034,268548,65.91,"10000032, 10000032, 10000117, 10000764, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V1,-0.75,0.93,1100,0.27,"10001401, 10007058, 10013653, 10014078, 10017531","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V1_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V1_iqr,0.02,2.1501250000000165,155095,38.07,"10000117, 10000635, 10000764, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V2,-0.7,0.955,1939,0.48,"10003299, 10003299, 10023117, 10023117, 10025647","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V2_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V2_iqr,0.01,1.6410750000000098,18689,4.59,"10000117, 10000764, 10000980, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V3,-0.77905,0.95,1407,0.35,"10014610, 10023117, 10023117, 10023117, 10028480","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V3_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V3_iqr,0.0099999999999999,1.6510750000000098,18827,4.62,"10000117, 10002013, 10002155, 10002528, 10002807","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V4,-0.81,0.92,906,0.22,"10001843, 10038849, 10067573, 10137856, 10139387","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V4_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V4_iqr,0.01,1.655,23984,5.89,"10000980, 10000980, 10001401, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V5,-0.87,0.89,757,0.19,"10010471, 10021395, 10023117, 10030753, 10039709","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V5_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V5_iqr,0.0149999999999999,1.7275,97209,23.86,"10000117, 10000935, 10000935, 10000935, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V6,-0.865,0.865,887,0.22,"10010471, 10023117, 10026255, 10122589, 10138124","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V6_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_V6_iqr,0.02,1.75,182395,44.77,"10000117, 10000635, 10000764, 10000764, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVF,-0.81905,0.83,227,0.06,"10023117, 10023117, 10023117, 10052340, 10078008","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVF_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVF_iqr,0.03,1.8070250000000034,277972,68.22,"10000032, 10000032, 10000117, 10000635, 10000764","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVL,-0.73,0.81,382,0.09,"10023117, 10023117, 10023117, 10023117, 10023117","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVL_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVL_iqr,0.037974999999999974,1.77,302677,74.29,"10000032, 10000032, 10000032, 10000117, 10000635","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVR,-0.63905,0.79,94,0.02,"10023117, 10139387, 10196360, 10570126, 10639500","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVR_count,0.0,21.0,13514,3.32,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
ST_Elev_aVR_iqr,0.0275,1.66,274726,67.43,"10000032, 10000032, 10000032, 10000117, 10000635","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V1,-0.6650999999999999,0.29,9126,2.24,"10003502, 10004401, 10004606, 10010471, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V1_iqr,0.005,0.61,4685,1.15,"10002800, 10004606, 10005428, 10005866, 10006023","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V2,-1.23,0.26,8391,2.06,"10001884, 10001884, 10002528, 10002559, 10005012","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V2_iqr,0.0075,0.675,14477,3.55,"10000980, 10002013, 10002428, 10002800, 10002976","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V3,-1.41,0.2,7291,1.79,"10001877, 10002221, 10002428, 10003299, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
S_Amp_V3_iqr,0.0099999999999999,0.7600500000000011,31108,7.63,"10000980, 10002013, 10002013, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_I,-0.33,0.37,5565,1.37,"10003502, 10004113, 10005858, 10006431, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_II,-0.23,0.43,6187,1.52,"10009686, 10010429, 10010471, 10010471, 10013049","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_III,-0.26,0.49,7707,1.89,"10003502, 10003502, 10004401, 10004401, 10009686","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_III_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_III_iqr,0.0099999999999999,0.4775500000000011,36874,9.05,"10001401, 10001492, 10001884, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_II_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_II_iqr,0.0099999999999999,0.4201000000000022,50320,12.35,"10000764, 10000935, 10000980, 10001217, 10001401","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_I_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_I_iqr,0.0099999999999999,0.33,59090,14.5,"10000117, 10000764, 10000980, 10001401, 10001492","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V1,-0.33,0.6902000000000044,6403,1.57,"10001401, 10010471, 10010471, 10010471, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V1_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V1_iqr,0.0099999999999999,0.5900500000000012,50394,12.37,"10000117, 10000764, 10000935, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V2,-0.34,1.215,7526,1.85,"10002013, 10002013, 10002155, 10010429, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V2_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V2_iqr,0.0099999999999999,0.7351000000000022,29057,7.13,"10000980, 10001884, 10001884, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V3,-0.395,1.1901000000000022,6133,1.51,"10002155, 10004764, 10008064, 10010429, 10010471","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V3_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V3_iqr,0.0099999999999999,0.7875500000000011,28110,6.9,"10000635, 10000764, 10000935, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V4,-0.46,0.91,5151,1.26,"10002428, 10010471, 10017764, 10021927, 10021927","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V4_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V4_iqr,0.0099999999999999,0.6749999999999999,36187,8.88,"10000635, 10000980, 10000980, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V5,-0.48,0.63,5221,1.28,"10001843, 10002428, 10002428, 10010471, 10013310","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V5_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V5_iqr,0.0099999999999999,0.66,47170,11.58,"10000117, 10000826, 10000935, 10000980, 10000980","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V6,-0.435,0.46,5910,1.45,"10001843, 10002428, 10002428, 10002428, 10004113","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V6_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_V6_iqr,0.0075,0.7625,24199,5.94,"10000764, 10000980, 10001492, 10002013, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVF,-0.2,0.40010000000000223,13670,3.36,"10001884, 10001884, 10001884, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVF_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
T_Amp_aVF_iqr,0.0099999999999999,0.4175500000000011,61554,15.11,"10001401, 10001492, 10001492, 10001884, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
