Feature,Quality_Score,Category,Primary_Issues
Q_Amp_aVR,91,Excellent,Outliers (8.6%) | Implausible Values (1.5%)
R_Amp_aVR,91,Excellent,Outliers (8.0%) | Implausible Values (2.4%)
T_Amp_aVF,91,Excellent,Outliers (6.8%) | Implausible Values (3.4%)
Q_Amp_III,91,Excellent,Outliers (7.7%) | Implausible Values (2.0%)
ST_Elev_aVF,90,Excellent,Outliers (10.1%)
R_Amp_V2,90,Excellent,Outliers (9.1%) | Implausible Values (1.4%)
ST_Elev_III,90,Excellent,Outliers (10.2%)
S_Amp_V3,90,Excellent,Outliers (8.5%) | Implausible Values (1.8%)
R_Amp_V6_iqr,89,Good,Outliers (6.5%) | Implausible Values (4.4%)
R_Amp_III_iqr,88,Good,Outliers (5.9%) | Implausible Values (5.6%)
Q_Amp_I,88,Good,Outliers (9.7%) | Implausible Values (1.6%)
R_Amp_I_iqr,88,Good,Outliers (5.5%) | Implausible Values (6.2%)
R_Amp_V1,87,Good,Outliers (10.1%) | Implausible Values (2.0%)
ST_Elev_V1,87,Good,Outliers (11.6%)
R_Amp_V6,87,Good,Outliers (8.5%) | Implausible Values (3.2%)
Q_Amp_V1,87,Good,Outliers (9.2%) | Implausible Values (2.5%)
R_Amp_V5_iqr,86,Good,Outliers (6.3%) | Implausible Values (6.5%)
R_Amp_II_iqr,86,Good,Outliers (6.5%) | Implausible Values (5.6%)
ST_Elev_V2_iqr,86,Good,Outliers (8.0%) | Implausible Values (4.6%)
S_Amp_V2_iqr,86,Good,Outliers (8.7%) | Implausible Values (3.5%)
R_Amp_aVL_iqr,85,Good,Outliers (6.2%) | Implausible Values (6.8%)
ST_Elev_V3_iqr,85,Good,Outliers (8.3%) | Implausible Values (4.6%)
R_Amp_V3_iqr,85,Good,Outliers (7.0%) | Implausible Values (5.8%)
S_Amp_V1,83,Good,Outliers (11.6%) | Implausible Values (2.2%)
R_Amp_aVR_iqr,83,Good,Outliers (6.3%) | Implausible Values (7.7%)
Q_Amp_V2_iqr,83,Good,Outliers (7.8%) | Implausible Values (6.4%)
Q_Amp_aVF,83,Good,Outliers (13.0%) | Implausible Values (1.1%)
R_Amp_V4_iqr,83,Good,Outliers (6.6%) | Implausible Values (7.3%)
R_Amp_V1_iqr,82,Good,Outliers (6.6%) | Implausible Values (7.9%)
ST_Elev_V4_iqr,82,Good,Outliers (8.5%) | Implausible Values (5.9%)
Q_Amp_V1_iqr,82,Good,Outliers (8.7%) | Implausible Values (6.0%)
R_Amp_V2_iqr,82,Good,Outliers (6.6%) | Implausible Values (7.7%)
Q_Amp_III_iqr,81,Good,Outliers (8.6%) | Implausible Values (6.0%)
Q_Amp_V6,81,Good,Outliers (13.8%) | Implausible Values (1.4%)
R_Amp_aVL,81,Good,Implausible Values (9.5%)
T_Amp_V3_iqr,80,Good,Outliers (8.6%) | Implausible Values (6.9%)
T_Amp_V2_iqr,80,Good,Outliers (8.2%) | Implausible Values (7.1%)
Q_Amp_V3_iqr,80,Good,Outliers (7.9%) | Implausible Values (7.7%)
T_Amp_V6_iqr,78,Fair,Outliers (10.6%) | Implausible Values (5.9%)
S_Amp_V3_iqr,78,Fair,Outliers (8.6%) | Implausible Values (7.6%)
Q_Amp_V5,78,Fair,Outliers (19.2%) | Implausible Values (1.1%)
RR_Mean_Global_iqr,78,Fair,Outliers (13.8%) | Implausible Values (2.5%)
Q_Amp_V6_iqr,78,Fair,Outliers (9.7%) | Implausible Values (7.0%)
Q_Amp_II,78,Fair,Outliers (15.9%) | Implausible Values (1.3%)
ST_Elev_I_iqr,77,Fair,Outliers (6.8%) | Implausible Values (65.9%)
ST_Elev_aVR_iqr,77,Fair,Outliers (6.9%) | Implausible Values (67.4%)
ST_Elev_aVF_iqr,76,Fair,Outliers (7.5%) | Implausible Values (68.2%)
ST_Elev_II_iqr,76,Fair,Outliers (7.3%) | Implausible Values (48.1%)
S_Amp_V2,76,Fair,Outliers (17.0%) | Implausible Values (2.1%)
Q_Amp_I_iqr,75,Fair,Outliers (7.8%) | Implausible Values (15.6%)
ST_Elev_aVL_iqr,75,Fair,Outliers (7.7%) | Implausible Values (74.3%)
T_Amp_V4_iqr,75,Fair,Outliers (9.4%) | Implausible Values (8.9%)
ST_Elev_III_iqr,75,Fair,Outliers (7.9%) | Implausible Values (68.7%)
Q_Amp_aVR_iqr,75,Fair,Outliers (7.7%) | Implausible Values (13.3%)
T_Amp_III_iqr,74,Fair,Outliers (9.2%) | Implausible Values (9.1%)
ST_Elev_V6_iqr,74,Fair,Outliers (8.4%) | Implausible Values (44.8%)
Q_Amp_II_iqr,74,Fair,Outliers (8.4%) | Implausible Values (13.1%)
ST_Elev_V1_iqr,74,Fair,Outliers (8.1%) | Implausible Values (38.1%)
ST_Elev_V5_iqr,73,Fair,Outliers (8.6%) | Implausible Values (23.9%)
Q_Amp_aVL_iqr,73,Fair,Outliers (8.5%) | Implausible Values (10.4%)
Q_Amp_aVF_iqr,73,Fair,Outliers (8.5%) | Implausible Values (12.0%)
Q_Amp_V4_iqr,72,Fair,Outliers (9.2%) | Implausible Values (10.9%)
T_Amp_I_iqr,72,Fair,Outliers (9.4%) | Implausible Values (14.5%)
T_Amp_aVF_iqr,72,Fair,Outliers (9.1%) | Implausible Values (15.1%)
T_Amp_aVR_iqr,71,Fair,Outliers (9.7%) | Implausible Values (21.7%)
T_Amp_V1_iqr,71,Fair,Outliers (9.5%) | Implausible Values (12.4%)
T_Amp_aVL_iqr,71,Fair,Outliers (9.6%) | Implausible Values (13.9%)
Q_Amp_V5_iqr,70,Fair,Outliers (10.1%) | Implausible Values (13.8%)
T_Amp_II_iqr,70,Fair,Outliers (10.0%) | Implausible Values (12.3%)
T_Amp_V5_iqr,70,Fair,Outliers (10.1%) | Implausible Values (11.6%)
