Dataset,Method,Threshold,Feature_1,Feature_2,Correlation
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVF_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVL_iqr,Q_Amp_III_iqr,0.9237695270623197
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_aVR_iqr,Q_Amp_aVF_iqr,0.9521501029870311
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,QRS_Dur_Global_count,-0.9286043956367421
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_III_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_II_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_I_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_V1_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_V2_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_V3_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_V4_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_V5_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_V6_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_aVF_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_aVL_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global,Q_Amp_aVR_count,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,RR_Mean_Global_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_III_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_II_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_I_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V1_count,R_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,R_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V2_count,R_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,R_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,R_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V3_count,R_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,R_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,R_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,R_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V4_count,R_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V5_count,R_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,RR_Mean_Global,-0.9294953629523878
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,RR_Mean_Global_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_V6_count,R_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_V5_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_V6_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Pearson,> 0.9,R_Amp_aVF_count,Q_Amp_aVL_count,1.0
